Q1: 실습용 민원 Fake 데이이터 생성

역할: 엑셀용 Fake 데이터 생성기
목적: 조건에 맞는 엑셀용 Fake 데이터를 생성해 실무 예시로 활요하기
동작: 다음 조건에 맞는 Fake 데이터를 만들고 엑셀로 다운로드 받을 수 있게 해 줘.
- 2025년 1월부터 5월까지의 민원데이터
- 항목 : 날짜, 부서, 민원분류, 내용, 처리상태
- 각 월별로 15개의 데이터를 무작위로 생성
- 날짜: 순차적으로 생성
- 부서 : 복지, 재난안전, 환경위생, 건축, 교육 중 택일
- 민원분류: 질의, 칭찬, 제안, 불만 중 택일
- 내용: 부서와 민원분류에 맞는 민원내용 요약
- 처리 여부: '완료', '접수', '처리중' 중 택일
- 하나의 시트에 모두 작성
주의사항: 부서, 민원분류, 처리상태는 반드시 무작위로 섞어서 출력
출력: 엑셀 데이터를 다운받을 수 있는 형태. 한글깨짐이 없도록 UTF-8로 인코딩


Q2: 월별 집계용 템플릿을 이용한 데이터 정리

역할: 엑셀 데이터의 월별 요약 정리하는 엑셀 전문가
목적: 엑셀 데이터 파일의 데이터를 제공하는 템플릿에 맞게 월별 시트로 요약
동작: 첨부한 민원데이터 전체를 다음의 원칙에 맞게 요약 정리
- 두번째로 업로드한 집계용 템플릿 파일의 형식에 맞게 1월 시트를 만들어 작성
- 시트는 "1월"로 이름 정하기
- A1의 "O월 부서별 민원처리 현황"에서 각 월을 O 자리를 채움
- B3:F8까지의 데이터를 자동으로 채움
- A열은 부서 이름
- B열 : 해당 월의 민원 전체 수
- C열 : '완료' 민원수
- D열 :  '처리중' 민원수
- E열 : '접수' 민원수
- F열 : 완료율(%) : 부서의 완료/민원수를 %로 표시, 소수이하 2자리로 표시
- 8행(마지막행)은 각 열의 합계
1월의 월별 집계를 시트에 정리
- 템플릿 파일을 복사해 셀의 크기, 배경색, 서식을 유지
출력 : 엑셀 파일 형태로 다운로드 받을 수 있게 해 줘.한글깨짐이 없도록 UTF-8로 인코딩

색상, 셀서식 등이 맞지 않아.
이번에는 색상과 서식까지 복사해 사용하고,
1월부터 5월까지의 각각의 통계를 각 시트별로 만들어줘.
시트이름은 "1월", "2월"과 같이 정해 줘.

Q3.

역할: 엑셀 데이터의 월별 요약 정리하는 엑셀 전문가
목적: 엑셀 데이터 파일의 데이터를 제공하는 템플릿에 맞게 월별 시트로 요약
동작: 첨부한 민원데이터 전체를 다음의 원칙에 맞게 요약 정리
- 두번째로 업로드한 집계용 템플릿 파일의 형식에 맞게 월별 시트를 만들어 작성
- 각 시트는 "1월", "2월", ... "5월"로 이름 정하기
- A1의 "O월 부서별 민원처리 현황"에서 각 월을 O 자리를 채움
- B3:F8까지의 데이터를 자동으로 채움
- A열은 부서 이름
- B열 : 해당 월의 민원 전체 수
- C열 : '완료' 민원수
- D열 :  '처리중' 민원수
- E열 : '접수' 민원수
- F열 : 완료율(%) : 부서의 완료/민원수를 %로 표시, 소수이하 2자리로 표시
- 8행(마지막행)은 각 열의 합계
1월부터 12월까지의 각 월별 집계를 각 시트마다 정리
- 템플릿 파일을 복사해 셀의 크기, 배경색, 서식을 유지
출력 : 엑셀 파일 형태로 다운로드 받을 수 있게 해 줘.한글깨짐이 없도록 UTF-8로 인코딩


∙ 


날짜	부서	민원분류	내용	처리상태
2025-01-01	복지	질의	복지 서비스 신청 절차에 대한 문의	처리중
2025-01-02	건축	질의	건축 인허가 관련 제출 서류 문의	완료
2025-01-03	환경위생	불만	음식물 쓰레기 수거 지연에 대한 불만	완료
2025-01-04	환경위생	제안	재활용 분리수거 교육 홍보 강화 제안	처리중
2025-01-05	환경위생	질의	생활 쓰레기 배출 요일 및 시간 문의	접수
2025-01-06	건축	칭찬	민원실 건축 담당 친절 안내에 대한 칭찬	접수
2025-01-07	건축	불만	건축 허가 처리 지연에 대한 불만	처리중
2025-01-08	재난안전	칭찬	폭우 시 신속한 통제 조치에 대한 칭찬	완료
2025-01-09	재난안전	칭찬	폭우 시 신속한 통제 조치에 대한 칭찬	처리중
2025-01-10	건축	불만	건축 허가 처리 지연에 대한 불만	접수
2025-01-11	교육	칭찬	학교 지원 프로그램 운영에 대한 칭찬	완료
2025-01-12	교육	칭찬	학교 지원 프로그램 운영에 대한 칭찬	처리중
2025-01-13	교육	제안	학부모 대상 교육 설명회 확대 제안	접수
2025-01-14	재난안전	칭찬	폭우 시 신속한 통제 조치에 대한 칭찬	접수
2025-01-15	복지	칭찬	복지 상담 친절 응대에 대한 칭찬	접수
2025-02-01	건축	불만	건축 허가 처리 지연에 대한 불만	접수
2025-02-02	재난안전	불만	재난 경보 안내 미흡에 대한 불만	접수
2025-02-03	재난안전	질의	태풍 대비 재난 문자 발송 기준 문의	완료
2025-02-04	건축	제안	노후 건축물 안전점검 확대 제안	완료
2025-02-05	재난안전	제안	재난 대피소 위치 안내판 보강 제안	접수
2025-02-06	재난안전	칭찬	폭우 시 신속한 통제 조치에 대한 칭찬	완료
2025-02-07	환경위생	제안	재활용 분리수거 교육 홍보 강화 제안	처리중
2025-02-08	재난안전	질의	태풍 대비 재난 문자 발송 기준 문의	처리중
2025-02-09	복지	질의	복지 서비스 신청 절차에 대한 문의	처리중
2025-02-10	건축	제안	노후 건축물 안전점검 확대 제안	처리중
2025-02-11	복지	제안	기초생활수급 상담 시간 확대 제안	접수
2025-02-12	건축	불만	건축 허가 처리 지연에 대한 불만	완료
2025-02-13	환경위생	칭찬	동네 청소 상태 개선에 대한 칭찬	접수
2025-02-14	건축	칭찬	민원실 건축 담당 친절 안내에 대한 칭찬	완료
2025-02-15	교육	질의	방과후 프로그램 운영 시간 문의	처리중
2025-03-01	환경위생	불만	음식물 쓰레기 수거 지연에 대한 불만	처리중
2025-03-02	재난안전	제안	재난 대피소 위치 안내판 보강 제안	완료
2025-03-03	재난안전	불만	재난 경보 안내 미흡에 대한 불만	접수
2025-03-04	재난안전	불만	재난 경보 안내 미흡에 대한 불만	접수
2025-03-05	재난안전	질의	태풍 대비 재난 문자 발송 기준 문의	처리중
2025-03-06	복지	질의	복지 서비스 신청 절차에 대한 문의	처리중
2025-03-07	건축	불만	건축 허가 처리 지연에 대한 불만	접수
2025-03-08	복지	칭찬	복지 상담 친절 응대에 대한 칭찬	완료
2025-03-09	재난안전	불만	재난 경보 안내 미흡에 대한 불만	접수
2025-03-10	건축	질의	건축 인허가 관련 제출 서류 문의	접수
2025-03-11	교육	제안	학부모 대상 교육 설명회 확대 제안	완료
2025-03-12	복지	불만	복지 지원 결정 지연에 대한 불만	처리중
2025-03-13	교육	제안	학부모 대상 교육 설명회 확대 제안	처리중
2025-03-14	교육	불만	교육 시설 노후화에 대한 불만	완료
2025-03-15	교육	불만	교육 시설 노후화에 대한 불만	완료
2025-04-01	복지	질의	복지 서비스 신청 절차에 대한 문의	완료
2025-04-02	건축	칭찬	민원실 건축 담당 친절 안내에 대한 칭찬	처리중
2025-04-03	건축	질의	건축 인허가 관련 제출 서류 문의	접수
2025-04-04	건축	제안	노후 건축물 안전점검 확대 제안	처리중
2025-04-05	재난안전	불만	재난 경보 안내 미흡에 대한 불만	완료
2025-04-06	교육	불만	교육 시설 노후화에 대한 불만	접수
2025-04-07	재난안전	불만	재난 경보 안내 미흡에 대한 불만	처리중
2025-04-08	복지	질의	복지 서비스 신청 절차에 대한 문의	완료
2025-04-09	건축	제안	노후 건축물 안전점검 확대 제안	완료
2025-04-10	건축	불만	건축 허가 처리 지연에 대한 불만	완료
2025-04-11	재난안전	제안	재난 대피소 위치 안내판 보강 제안	처리중
2025-04-12	교육	질의	방과후 프로그램 운영 시간 문의	접수
2025-04-13	교육	불만	교육 시설 노후화에 대한 불만	접수
2025-04-14	건축	불만	건축 허가 처리 지연에 대한 불만	완료
2025-04-15	교육	칭찬	학교 지원 프로그램 운영에 대한 칭찬	접수
2025-05-01	환경위생	제안	재활용 분리수거 교육 홍보 강화 제안	처리중
2025-05-02	복지	불만	복지 지원 결정 지연에 대한 불만	완료
2025-05-03	복지	제안	기초생활수급 상담 시간 확대 제안	처리중
2025-05-04	건축	제안	노후 건축물 안전점검 확대 제안	접수
2025-05-05	재난안전	불만	재난 경보 안내 미흡에 대한 불만	완료
2025-05-06	건축	질의	건축 인허가 관련 제출 서류 문의	처리중
2025-05-07	재난안전	칭찬	폭우 시 신속한 통제 조치에 대한 칭찬	처리중
2025-05-08	교육	칭찬	학교 지원 프로그램 운영에 대한 칭찬	완료
2025-05-09	교육	불만	교육 시설 노후화에 대한 불만	처리중
2025-05-10	건축	질의	건축 인허가 관련 제출 서류 문의	처리중
2025-05-11	복지	제안	기초생활수급 상담 시간 확대 제안	처리중
2025-05-12	복지	질의	복지 서비스 신청 절차에 대한 문의	처리중
2025-05-13	복지	질의	복지 서비스 신청 절차에 대한 문의	접수
2025-05-14	건축	칭찬	민원실 건축 담당 친절 안내에 대한 칭찬	접수
2025-05-15	교육	질의	방과후 프로그램 운영 시간 문의	완료
